timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
77.00;19.813499;flow_2.1;:junc_01_18_0;47.667624;0.000000;1.288397;vehDist74;13.416831;52.522072
78.00;274.813499;flow_2.0;:junc_01_9_0;19.219150;0.000000;0.000000;vehDist71;13.416839;52.522087
78.00;19.813499;flow_2.1;:junc_01_18_0;47.667624;0.000000;0.000000;vehDist74;13.416831;52.522072
79.00;274.813499;flow_2.0;:junc_01_9_0;19.219150;0.000000;0.000000;vehDist71;13.416839;52.522087
79.00;19.813499;flow_2.1;:junc_01_18_0;47.667624;0.000000;0.000000;vehDist74;13.416831;52.522072
80.00;274.813499;flow_2.0;:junc_01_9_0;19.219150;0.000000;0.000000;vehDist71;13.416839;52.522087
80.00;19.813499;flow_2.1;:junc_01_18_0;47.667624;0.000000;0.000000;vehDist74;13.416831;52.522072
80.00;34.850711;flow_2.2;24540242#1_0;1.700000;0.000000;0.000000;vehDist45;13.415544;52.520882
81.00;274.813499;flow_2.0;:junc_01_9_0;19.219150;0.000000;0.000000;vehDist71;13.416839;52.522087
81.00;19.813499;flow_2.1;:junc_01_18_0;47.667624;0.000000;0.000000;vehDist74;13.416831;52.522072
81.00;34.850711;flow_2.2;24540242#1_0;2.238189;0.000000;0.538189;vehDist45;13.415548;52.520886
82.00;274.813499;flow_2.0;:junc_01_9_0;19.219150;0.000000;0.000000;vehDist71;13.416839;52.522087
82.00;19.813499;flow_2.1;:junc_01_18_0;47.915167;0.000000;0.002613;vehDist74;13.416833;52.522074
82.00;34.850711;flow_2.2;24540242#1_0;3.239743;0.000000;1.001555;vehDist45;13.415556;52.520893
83.00;274.813499;flow_2.0;:junc_01_9_0;19.219150;0.000000;0.000000;vehDist71;13.416839;52.522087
83.00;334.813499;flow_2.1;:junc_01_18_0;48.067124;0.000000;0.004089;vehDist74;13.416834;52.522075
83.00;34.850711;flow_2.2;24540242#1_0;4.790205;0.000000;1.550462;vehDist45;13.415569;52.520905
84.00;274.813499;flow_2.0;:junc_01_9_0;19.219150;0.000000;0.000000;vehDist71;13.416839;52.522087
84.00;289.813499;flow_2.1;:junc_01_18_0;48.031689;0.000000;0.004879;vehDist74;13.416834;52.522075
84.00;34.850711;flow_2.2;24540242#1_0;6.830905;0.000000;2.040699;vehDist45;13.415585;52.520920
85.00;274.813499;flow_2.0;:junc_01_9_0;19.219150;0.000000;0.000000;vehDist71;13.416839;52.522087
85.00;244.813499;flow_2.1;:junc_01_18_0;47.828098;0.000000;0.005732;vehDist74;13.416833;52.522073
85.00;34.850711;flow_2.2;24540242#1_0;9.182186;0.000000;2.351281;vehDist45;13.415605;52.520938
86.00;274.813499;flow_2.0;:junc_01_9_0;19.219150;0.000000;0.000000;vehDist71;13.416839;52.522087
86.00;259.813499;flow_2.1;:junc_01_18_0;47.670603;0.000000;0.007262;vehDist74;13.416831;52.522072
86.00;34.850711;flow_2.2;24540242#1_0;11.922925;0.000000;2.740739;vehDist45;13.415627;52.520958
87.00;274.813499;flow_2.0;:junc_01_9_0;19.219150;0.000000;0.000000;vehDist71;13.416839;52.522087
87.00;304.813499;flow_2.1;:junc_01_18_0;47.701877;0.000000;0.009240;vehDist74;13.416832;52.522072
87.00;34.850711;flow_2.2;24540242#1_0;15.085419;0.000000;3.162494;vehDist45;13.415653;52.520982
88.00;274.813499;flow_2.0;:junc_01_9_0;19.219150;0.000000;0.000000;vehDist71;13.416839;52.522087
88.00;349.813499;flow_2.1;:junc_01_18_0;47.906102;0.000000;0.010933;vehDist74;13.416833;52.522074
88.00;34.850711;flow_2.2;24540242#1_0;18.760320;0.000000;3.674901;vehDist45;13.415683;52.521010
89.00;274.813499;flow_2.0;:junc_01_9_0;19.219150;0.000000;0.000000;vehDist71;13.416839;52.522087
89.00;19.813499;flow_2.1;:junc_01_18_0;48.164470;0.000000;0.011729;vehDist74;13.416835;52.522076
89.00;34.850711;flow_2.2;24540242#1_0;22.999089;0.000000;4.238769;vehDist45;13.415717;52.521041
90.00;274.813499;flow_2.0;:junc_01_9_0;19.219150;0.000000;0.000000;vehDist71;13.416839;52.522087
90.00;19.813499;flow_2.1;:junc_01_18_0;48.423627;0.000000;0.011729;vehDist74;13.416836;52.522078
90.00;34.850711;flow_2.2;24540242#1_0;27.574961;0.000000;4.575872;vehDist45;13.415754;52.521076
91.00;274.813499;flow_2.0;:junc_01_9_0;19.448465;0.000000;0.454000;vehDist71;13.416836;52.522088
91.00;349.813499;flow_2.1;:junc_01_9_0;19.110432;0.000000;0.000000;vehDist74;13.416841;52.522087
91.00;34.850711;flow_2.2;24540242#1_0;32.460431;0.000000;4.885470;vehDist45;13.415794;52.521112
92.00;304.813499;flow_2.0;:junc_01_9_0;20.147914;0.000000;0.908000;vehDist71;13.416827;52.522091
92.00;349.813499;flow_2.1;:junc_01_9_0;19.110432;0.000000;0.000000;vehDist74;13.416841;52.522087
92.00;34.850711;flow_2.2;24540242#1_0;37.689376;0.000000;5.228946;vehDist45;13.415837;52.521151
93.00;304.813499;flow_2.0;:junc_01_9_0;21.298429;0.000000;1.362000;vehDist71;13.416812;52.522095
93.00;349.813499;flow_2.1;:junc_01_9_0;19.110432;0.000000;0.000000;vehDist74;13.416841;52.522087
93.00;34.850711;flow_2.2;24540242#1_0;43.317503;0.000000;5.628126;vehDist45;13.415883;52.521193
94.00;304.813499;flow_2.0;:junc_01_9_0;22.900008;0.000000;1.816000;vehDist71;13.416791;52.522102
94.00;349.813499;flow_2.1;:junc_01_9_0;19.265973;0.000000;0.086996;vehDist74;13.416839;52.522087
94.00;34.850711;flow_2.2;24540242#1_0;49.150343;0.000000;5.832841;vehDist45;13.415930;52.521237
95.00;304.813499;flow_2.0;:junc_01_9_0;24.952653;0.000000;2.270000;vehDist71;13.416764;52.522110
95.00;304.813499;flow_2.1;:junc_01_9_0;19.600791;0.000000;0.586996;vehDist74;13.416834;52.522089
95.00;43.111157;flow_2.2;:1986668243_0_0;1.165096;0.000000;5.824752;vehDist45;13.415981;52.521280
96.00;304.813499;flow_2.0;:junc_01_9_0;27.456363;0.000000;2.724000;vehDist71;13.416731;52.522121
96.00;289.813499;flow_2.1;:junc_01_9_0;20.428664;0.000000;1.086996;vehDist74;13.416823;52.522092
96.00;58.201662;flow_2.2;:1986668243_0_0;6.974795;0.000000;5.809699;vehDist45;13.416055;52.521306
97.00;304.813499;flow_2.0;:junc_01_9_0;30.411138;0.000000;3.178000;vehDist71;13.416692;52.522133
97.00;304.813499;flow_2.1;:junc_01_9_0;21.757018;0.000000;1.586996;vehDist74;13.416806;52.522097
97.00;34.378470;flow_2.2;188044903#0_0;4.059594;0.000000;5.754799;vehDist45;13.416106;52.521347
